2025/11/13 14:03:20.544, 0, NVIDIA GeForce RTX 4060, 81, 100, 2745
2025/11/13 14:03:20.560, 1, NVIDIA GeForce GTX 1070, 82, 100, 1771
2025/11/13 14:03:20.653, 0, NVIDIA GeForce RTX 4060, 81, 99, 2730
2025/11/13 14:03:20.655, 1, NVIDIA GeForce GTX 1070, 82, 100, 1746
2025/11/13 14:04:21.830, 0, NVIDIA GeForce RTX 4060, 81, 99, 2775
2025/11/13 14:04:21.835, 1, NVIDIA GeForce GTX 1070, 82, 100, 1759
2025/11/13 14:05:19.425, 0, NVIDIA GeForce RTX 4060, 77, 56, 2730
2025/11/13 14:05:19.427, 1, NVIDIA GeForce GTX 1070, 82, 97, 1835
2025/11/13 14:06:20.598, 0, NVIDIA GeForce RTX 4060, 67, 25, 210
2025/11/13 14:06:20.603, 1, NVIDIA GeForce GTX 1070, 82, 100, 1733
2025/11/13 14:07:21.789, 0, NVIDIA GeForce RTX 4060, 81, 93, 2745
2025/11/13 14:07:21.791, 1, NVIDIA GeForce GTX 1070, 82, 100, 1708
2025/11/13 14:08:19.383, 0, NVIDIA GeForce RTX 4060, 81, 67, 2775
2025/11/13 14:08:19.394, 1, NVIDIA GeForce GTX 1070, 82, 99, 1759
2025/11/13 14:09:20.564, 0, NVIDIA GeForce RTX 4060, 81, 76, 2760
2025/11/13 14:09:20.569, 1, NVIDIA GeForce GTX 1070, 82, 99, 1797
2025/11/13 14:10:21.743, 0, NVIDIA GeForce RTX 4060, 80, 97, 2745
2025/11/13 14:10:21.745, 1, NVIDIA GeForce GTX 1070, 82, 100, 1809
2025/11/13 14:11:19.332, 0, NVIDIA GeForce RTX 4060, 81, 94, 2745
2025/11/13 14:11:19.338, 1, NVIDIA GeForce GTX 1070, 81, 93, 1860
2025/11/13 14:12:20.512, 0, NVIDIA GeForce RTX 4060, 80, 96, 2775
2025/11/13 14:12:20.520, 1, NVIDIA GeForce GTX 1070, 82, 100, 1746
2025/11/13 14:13:21.700, 0, NVIDIA GeForce RTX 4060, 80, 86, 2730
2025/11/13 14:13:21.704, 1, NVIDIA GeForce GTX 1070, 82, 100, 1797
2025/11/13 14:14:19.306, 0, NVIDIA GeForce RTX 4060, 81, 99, 2715
2025/11/13 14:14:19.310, 1, NVIDIA GeForce GTX 1070, 82, 100, 1695
2025/11/13 14:15:20.493, 0, NVIDIA GeForce RTX 4060, 82, 98, 2670
2025/11/13 14:15:20.495, 1, NVIDIA GeForce GTX 1070, 82, 100, 1733
2025/11/13 14:16:21.664, 0, NVIDIA GeForce RTX 4060, 82, 100, 2715
